1.2.840.113549.1.9.22.1,x509Certificate
1.2.840.113549.1.9.22.2,sdsiCertificate
1.2.840.113549.1.9.20,friendlyName
1.2.840.113549.1.9.21,localKeyID
1.2.840.113549.1.12.10.1.1,keyBag
1.2.840.113549.1.12.10.1.2,pkcs-8ShroudedKeyBag
1.2.840.113549.1.12.10.1.3,certBag
1.2.840.113549.1.12.10.1.4,crlBag
1.2.840.113549.1.12.10.1.5,secretBag
1.2.840.113549.1.12.10.1.6,safeContentsBag
1.2.840.113549.1.7.1,data
1.2.840.113549.1.7.6,encryptedData
1.2.840.113549.1.1.10,rsaPSS
2.16.840.1.101.3.4.2.1,SHA-256
2.16.840.1.101.3.4.2.2,SHA-384
2.16.840.1.101.3.4.2.3,SHA-512
2.16.840.1.101.3.4.2.4,SHA-224
2.5.4.3,commonName
2.5.4.6,countryName
2.5.4.10,organizationName
2.5.4.11,organizationalUnitName
1.3.6.1.4.1.311.60.2.1.3,jurisdictionOfIncorporationC
1.3.6.1.4.1.311.60.2.1.2,jurisdictionOfIncorporationSP
1.3.6.1.4.1.311.60.2.1.1,jurisdictionOfIncorporationL
2.5.4.15,businessCategory
2.5.4.5,serialNumber
2.5.4.8,stateOrProvinceName
2.5.4.7,localityName
1.2.840.113549.1.1.1,rsaEncryption
2.5.29.17,subjectAltName
2.5.29.32,certificatePolicies
2.16.840.1.113733.1.7.23.6,VeriSign EV policy
1.3.6.1.5.5.7.2.1,cps
1.3.6.1.5.5.7.2.2,unotice
2.5.29.31,cRLDistributionPoints
2.5.29.37,extKeyUsage
2.5.29.35,authorityKeyIdentifier
1.3.6.1.5.5.7.3.1,serverAuth
1.3.6.1.5.5.7.3.2,clientAuth
1.3.6.1.5.5.7.1.1,authorityInfoAccess
1.3.6.1.5.5.7.48.1,ocsp
1.3.6.1.5.5.7.48.2,caIssuers
1.2.840.113549.1.1.11,sha256WithRSAEncryption
1.2.840.113549.1.1.4,md5WithRSAEncryption
1.3.6.1.4.1.11129.2.4.2,2
2.23.140.1.1,ev-guidelines
1.2.840.113549.1.1.5,sha1WithRSAEncryption
1.2.840.10045.2.1,ecPublicKey
1.2.840.10045.3.1.7,prime256v1
1.2.840.10045.3.1.6,prime239v3
1.2.840.10045.3.1.5,prime239v2
1.2.840.10045.3.1.4,prime239v1
1.2.840.10045.3.1.3,prime192v3
1.2.840.10045.3.1.2,prime192v2
1.2.840.10045.3.1.1,prime192v1
1.3.132.0.1,ansit163k1
1.3.132.0.2,ansit163r1
1.3.132.0.3,ansit239k1
1.3.132.0.4,sect113r1
1.3.132.0.5,sect113r2
1.3.132.0.6,secp112r1
1.3.132.0.7,secp112r2
1.3.132.0.8,ansip160r1
1.3.132.0.9,ansip160k1
1.3.132.0.15,ansit163r2
1.3.132.0.16,ansit283k1
1.3.132.0.17,ansit283r1
1.3.132.0.22,sect131r1
1.3.132.0.23,23
1.3.132.0.24,ansit193r1
1.3.132.0.25,ansit193r2
1.3.132.0.26,ansit233k1
1.3.132.0.27,ansit233r1
1.3.132.0.28,secp128r1
1.3.132.0.29,secp128r2
1.3.132.0.30,ansip160r2
1.3.132.0.31,ansip192k1
1.3.132.0.32,ansip224k1
1.3.132.0.33,ansip224r1
1.3.132.0.36,ansit409k1
1.3.132.0.37,ansit409r1
1.3.132.0.38,ansit571k1
1.3.132.0.39,ansit571r1
1.3.36.3.3.2.8.1.1.1,brainpoolP160r1
1.3.36.3.3.2.8.1.1.2,brainpoolP160t1
1.3.36.3.3.2.8.1.1.3,brainpoolP192r1
1.3.36.3.3.2.8.1.1.4,brainpoolP192t1
1.3.36.3.3.2.8.1.1.5,brainpoolP224r1
1.3.36.3.3.2.8.1.1.6,brainpoolP224t1
1.3.36.3.3.2.8.1.1.7,brainpoolP256r1
1.3.36.3.3.2.8.1.1.8,brainpoolP256t1
1.3.36.3.3.2.8.1.1.9,brainpoolP320r1
1.3.36.3.3.2.8.1.1.10,brainpoolP320t1
1.3.36.3.3.2.8.1.1.11,brainpoolP384r1
1.3.36.3.3.2.8.1.1.12,brainpoolP384t1
1.3.36.3.3.2.8.1.1.13,brainpoolP512r1
1.3.36.3.3.2.8.1.1.14,brainpoolP512t1
1.2.840.10045.4.3.2,ecdsaWithSHA256
2.5.4.3,CN
2.5.4.4,SN
2.5.4.5,SERIALNUMBER
2.5.4.6,C
2.5.4.7,L
2.5.4.8,ST
2.5.4.8,S
2.5.4.9,streetAddress
2.5.4.9,STREET
2.5.4.10,O
2.5.4.11,OU
2.5.4.12,title
2.5.4.12,T
2.5.4.12,TITLE
2.5.4.42,givenName
2.5.4.42,G
2.5.4.42,GN
1.3.132.0.35,secp521r1
1.3.132.0.34,secp384r1
1.3.132.0.10,secp256k1
2.5.29.15,keyUsage
2.5.29.19,basicConstraints
2.5.29.14,subjectKeyIdentifier
1.3.14.3.2.26,SHA1
1.2.840.113549.1.1.13,sha512WithRSAEncryption
1.2.840.113549.1.1.12,sha384WithRSAEncryption
1.2.840.113549.1.1.14,sha224WithRSAEncryption
1.2.840.113549.1.9.14,extensionRequest
1.2.840.10045.4.1,ecdsaWithSHA1
1.2.840.10045.4.3.1,ecdsaWithSHA224
1.2.840.10045.4.3.3,ecdsaWithSHA384
1.2.840.10045.4.3.4,ecdsaWithSHA512
0.9.2342.19200300.100.1.1,UID
1.2.840.113549.1.9.1,emailAddress
2.5.4.26,registeredAddress
2.16.840.1.114412.1.1,digiCertOVCert (Digicert CA policy)
2.23.140.1.2.2,organization-validated
